id,name,Fibres,Starch,Protein,Lightbulks,Spices,Alliums,Fruittops,Seeds,Nuts,Bread,Cheesetops,Herbs,OtherTops,Oils,Fats,LiquidAromas,Glutenfree,Vegan,Vegetarian,LactoseFree,Diabetic,NutFree,FODMAPS,Umami,Sweet,Bitter,Sour,Salty,Spicy,Crunchy,AromaBomb,FRUITY,GREEN,FLORAL,SULFUROUS,HERBAL,AROMATIC_SPICY,WOODY,NUTTY,ROASTED,SMOKEY,CITRUS,MEATY,MARINE,CREAMY,CHEESY,Spring,Summer,Fall,Winter,Mediterranean,SouthAsian,EastAsian,LatinAmerican,European,MiddleEastern,Exotic,SlowAndDeep,FastAndFresh,Sofrito,Taco,Aromatics,Boil,Raw,Dressing,Toasting,Sour_map,Umami_map,Sweet_map,Bitter_map,Crunch_map,OilAndFat_map,Pungency_map,Spices_map,Herbs_map,Cheese_map,Alliums_map,Beverages_map,Fruits_map,FillingVeggies_map,Vegetables_map,MeatAndFish_map,Baking_map,Sour_wheel,Umami_wheel,Oil_wheel,Crunch_wheel,Sweet_wheel,Aroma_wheel,Fresh_wheel,Soft_wheel,Bitter_wheel,Spicy_wheel,common_en,common_da,common_de,common_es,has_icon
81,cider,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,x,x,x,,,,,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,x,x,x,x,x
82,cider vinegar,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,x,,,,,x,x,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,,,x,,,,,,,,,,x,x,x,x,x
82,cacao powder,,,,,,,,,,,,,,,,,x,x,x,x,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,x,x
83,cilantro,,,,,,,,,,,,x,,,,,x,x,x,x,x,x,x,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,,x,,,,,,x
83,coconut flakes,,,,,,,,,,,,,x,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
84,cilantro seeds,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,,,x,x,x,x,x
85,cinnamon,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x
86,clove,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,,,,,x,x,x,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x
87,cocoa,,,,,,,,,,,,,x,,,,x,x,x,x,,x,x,,x,x,,,,,x,,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x
88,coconut,,,,,,,,,,,,,x,,,,x,x,x,x,,,x,,,,,,,x,x,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,x,,,,x,x,x,x,x
89,coconut milk,,,,,,,,,,,,,,x,,,x,x,x,x,,x,x,,x,,,,,,,,,,,x,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,x
90,coconut oil,,,,,,,,,,,,,,x,,,x,x,x,x,x,x,x,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,x,x
91,coconut sugar,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
92,coconut water,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,x
93,coffee,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,x,x,,,,x,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,x
94,colby cheese,,,,,,,,,,,x,,,,,,x,,x,,,x,,,,,x,x,,,x,,,,,x,x,x,x,,x,,,,x,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,,x
95,corn,,x,,,,,,,,,,,,,,,x,x,x,x,,x,x,x,x,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,x
96,corn oil,,,,,,,,,,,,,,x,,,x,x,x,x,,x,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x
96,dried cranberries,,,,,,,,,,,,,x,,,,x,x,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
97,corn syrup,,,,,,,,,,,,,,,,x,x,x,x,x,,x,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
98,corn tortilla,,x,,,,,,,,,,,,,,,x,x,x,x,,x,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,x,x
99,cottage cheese,,,,,,,,,,,,,,,x,,x,,x,,x,x,x,x,,,x,x,,,,x,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,x,x,,,,,,,x
100,couscous,,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,x,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,x,x,x,x,x
101,cranberry,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,x,,x,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,x,x,x,x
102,cream,,,,,,,,,,,,,,,x,,x,,x,,x,x,x,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,x,,,,x,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,x,x,x,x,x
103,cream cheese,,,,,,,,,,,,,,,x,,x,,x,,x,x,x,,x,,x,x,,,,,,,,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,x
103,red currant,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x
104,cremini mushrooms,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,x
105,crÃ¨me fraÃ®che,,,,,,,,,,,,,,,x,,x,,x,,x,x,x,,,,x,,,,,x,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,x
106,cucumber,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,x,x
107,cumin,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,,,,,x,x,x,x,,,,,,,,,,,,,,,x,,x,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,x,x,,x
108,currant,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,x,,x,,,,x,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,x
109,curry powder,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,,x,,,,,x,x,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,x,x,x,x,x
110,daikon,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,x,x,x,x
111,date,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,x,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
112,dill,,,,,,,,,,,,x,,,,,x,x,x,x,x,x,x,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,,,,x,x,x,x,x
113,edamame,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,,,x,,,,,,,,x,,,,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x
114,eggplant,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,x,,,,,,,x,x,,x,,,x,,x,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,x,x,,,,,,x
115,eggs,,,x,,,,,,,,,,,,,,x,,x,x,x,x,x,x,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,x,x,x,x,x
116,farro,,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,x,x,x,x,x
117,fava beans,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,x,x,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,
118,fennel bulb,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,x
118,flax seeds,,,,,,,,x,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
119,fennel seeds,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,x
120,feta cheese,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,,,x,x,,,x,x,,,,,x,,,,,x,,,x,x,,,,,x,,,,,x,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,x,,,,,,x
121,fig,,,,,,,x,,,,,,,,,,x,,,x,,x,x,,x,,,,,,x,x,,x,,,,,,x,,,,,,,,,,,x,,,,x,x,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,x,x,x,x
122,fish sauce,,,,,,,,,,,,,,,,x,x,,,x,x,x,x,x,,,,,,,,,,,,,,x,x,,,,x,x,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x
123,flax seed,,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
124,flour tortilla,,x,,,,,,,,,,,,,,,,x,x,x,,x,,,,,,,,,,,x,,,,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,x,x
125,fontina cheese,,,,,,,,,,,x,,,,,,x,,x,,,x,,,,,x,x,,,x,,,,,,x,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,,x
126,frisee,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,,,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,x,x,x,x,x
127,galangal,,,,,x,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,,,x,x,x,,,x,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x
128,garam masala,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,,,,,x,x,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x
128,goji berries,,,,,,,,,,,,,x,,,,x,x,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
129,garlic,,,,,,x,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,x,,x,,x,,x,,x,,,,,,,,,,,,,,x,,x,x,x,x,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,x,,,,,x
130,ghee,,,,,,,,,,,,,,,x,,x,,x,,x,x,x,,,,,x,,,,,,,,,,,x,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x
130,gouda cheese,,,x,,,,,,,,x,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x
131,ginger,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,,x,,x,,,x,x,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,x,x,x,,x
132,goat cheese,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,,,x,x,,,x,,x,,,,x,x,,,,x,,,x,x,,,,,x,,,,x,x,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,x,x,,,,,,x,,,,,,x,x
133,goji,,,,,,,x,,,,,,,,,,x,x,x,x,,x,,,x,,x,,,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,x,x,x,x
134,gorgonzola,,,,,,,,,,,x,,,,,,x,,x,,,x,,,,,x,x,,,x,x,,,,,x,x,x,,,,,,x,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,x,,,,,,,x
135,gouda,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,,,x,x,,,x,,,,,,x,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,,x
135,great northern beans,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x
136,granola,,,,,,,,,,,,,x,,,,,x,x,x,,,,,,,,,,x,,x,,x,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,x,x,,x
136,greek yogurt,,,,,,,,,,,x,,,,,x,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,x,,x
137,grapefruit,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,,,x,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,x
138,grapes,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,x,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,x,x,x,x,x
139,grapeseed oil,,,,,,,,,,,,,,x,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,x,x,x,x,x
141,greek yoghurt,,,,,,,,,,,,,,,x,,x,,x,,x,x,x,,,,x,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,x,x,,,,x,,x,,x,x,x,x,x
142,green beans,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,x
143,green bell pepper,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,x
144,green cabbage,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,x,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,x
145,green olive,,,,,,,,,,,,,x,,,,x,x,x,x,x,x,x,,,,,x,,,x,,x,,,x,,x,x,,,,,,,,,,,,x,,,,x,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,x,x,x,x,x
146,green onion,,,,,,x,,,,,,,,,,,x,x,x,x,,x,,,x,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,x
146,hemp seeds,,,,,,,,x,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
147,gruyere cheese,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,,,x,x,,,x,,,,,,,x,x,,,,,,x,x,,,,,x,,,,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,,x
147,herbs de provence,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x
148,harissa,,,,,x,,,,,,,,,,,,x,x,x,x,,x,,,,,,,x,,x,,,,x,,x,,,x,,,,,,,,,,,x,,,,,x,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,x,,,,x,,,,x,,,,,x
149,havarti cheese,,,,,,,,,,,x,,,,,,x,,x,,,x,x,,,,x,x,,,x,,,,,,,,x,,,,,,x,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,x
150,hazelnuts,,,,,,,,,x,,,,,,,,x,x,x,x,x,,x,,,,,,,x,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
151,hemp seed,,,,,,,,x,,,,,,,,,x,x,x,x,x,x,x,,,,,,,x,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,x,x,x,x
152,herbes de provence,,,,,,,,,,,,x,,,,,x,x,x,x,,x,x,,,,,,,,x,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,,,,x,x,x,x,x
153,hoisin sauce,,,,,,,,,,,,,,,,x,x,x,x,x,,x,,x,x,,,,,,,,,,x,,x,x,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x
154,honey,,,,,,,,,,,,,,,,x,x,,x,x,,x,x,,x,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
155,horseradish,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,,x
156,hot pepper sauce,,,,,,,,,,,,,,,,x,x,x,x,x,,x,,,,,x,x,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,,x
156,jalapeño,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x
157,hot sauce,,,,,,,,,,,,,,,,x,x,x,x,x,,x,,,,,x,x,x,,,,,,x,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,x
158,hummus,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,,x,x,x,,,,,x,,,,,,x,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,,,,,,x
159,italian seasoning,,,,,,,,,,,,x,,,,,x,x,x,x,,x,,,,,,,,,x,,x,,,x,x,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,x
160,jaggery,,,,,,,,,,,,,,,,x,x,x,x,x,,x,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
161,jalapeno,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x,,,,,x
162,jicama,,,,x,,,,,,,,,,,,,x,x,x,x,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,x
163,juniper berries,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,x,,,,,,x
164,kale,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,x
165,ketchup,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,,x,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,x,,,x,,,,,,,x
166,kidney beans,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,x,x,x,x,x
167,kimchi,,,,,,,,,,,,,x,,,,x,x,x,x,,x,,x,,,x,x,x,,x,,x,,x,x,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,x,,,x,x,,,,x,,,,,,,,,x
168,kiwi,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,x,,x,,,,x,x,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,x,,x,x,,,,,,,x
169,kohlrabi,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x
170,kumquat,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,,,x,,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,x
171,leeks,,,,,,x,,,,,,,,,,,x,x,x,x,x,x,x,,x,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,x,x,x,x,x
171,green lentils,,x,x,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,x,x,x
172,lemon,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,x,x,x,x
172,iceberg lettuce,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,x,x,x
173,lemon pepper,,,,,x,,,,,,,,,,,,x,x,x,x,,x,,,,,x,,x,,x,x,,x,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x
173,pigeon peas,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x
174,lemon zest,,,,,,,,,,,,,x,,,,x,x,x,x,x,x,x,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,x
